75.23	37.77	0.2
90.85	38.25	0.2
93.33	38.75	0.2
98.42	38.80	0.2
99.58	38.42	0.2
100.25	38.18	0.2
93.68	36.80	0.2
95.37	37.85	0.2
97.37	37.37	0.2
100.13	37.33	0.2
101.62	37.38	0.2
102.87	37.20	0.2
94.90	36.42	0.2
96.42	36.43	0.2
98.48	36.92	0.2
98.10	36.30	0.2
99.08	36.78	0.2
100.62	36.27	0.2
101.75	36.72	0.2
101.43	36.03	0.2
93.08	35.22	0.2
99.98	35.58	0.2
100.75	35.58	0.2
102.02	35.52	0.2
80.08	32.50	0.2
84.42	32.15	0.2
90.02	31.38	0.2
91.10	32.35	0.2
92.07	31.48	0.2
81.25	30.28	0.2
88.63	30.95	0.2
91.10	30.48	0.2
87.60	29.08	0.2
88.88	29.25	0.2
90.17	29.43	0.2
91.13	29.67	0.2
91.77	29.25	0.2
85.97	28.18	0.2
87.08	28.63	0.2
89.60	28.92	0.2
90.40	28.97	0.2
91.95	27.98	0.2
92.47	28.42	0.2
89.08	27.73	0.2
92.43	34.22	0.2
95.30	32.90	0.2
95.78	34.13	0.2
97.02	33.02	0.2
98.22	34.92	0.2
97.13	33.80	0.2
98.10	32.98	0.2
100.25	34.47	0.2
99.65	33.75	0.2
101.60	34.73	0.2
101.48	33.43	0.2
102.08	34.00	0.2
102.97	33.58	0.2
102.90	35.00	0.2
93.78	31.88	0.2
95.60	31.42	0.2
96.48	32.20	0.2
97.17	31.15	0.2
98.58	31.80	0.2
100.00	31.62	0.2
100.75	32.93	0.2
100.33	32.28	0.2
101.12	30.98	0.2
102.23	31.90	0.2
102.55	32.80	0.2
102.35	31.00	0.2
103.57	32.65	0.2
93.28	30.67	0.2
95.83	30.75	0.2
95.77	29.87	0.2
99.10	30.00	0.2
100.32	30.93	0.2
100.27	30.00	0.2
94.33	29.67	0.2
97.83	29.67	0.2
100.30	29.05	0.2
101.97	30.05	0.2
97.47	28.65	0.2
98.92	28.48	0.2
101.27	27.93	0.2
101.50	29.00	0.2
98.67	27.75	0.2
99.70	27.83	0.2
91.98	31.37	0.2
92.37	31.07	0.2
92.31	31.11	0.2
92.25	31.13	0.2
92.20	31.17	0.2
92.16	31.23	0.2
92.11	31.27	0.2
92.04	31.33	0.2
91.77	31.68	0.2
91.81	31.69	0.2
91.77	31.61	0.2
91.84	31.62	0.2
92.46	31.71	0.2
92.41	31.68	0.2
92.34	31.66	0.2
92.33	31.64	0.2
92.24	31.59	0.2
92.21	31.54	0.2
92.13	31.50	0.2
91.80	31.69	0.2
91.79	31.70	0.2
91.80	31.72	0.2
91.77	31.70	0.2
91.79	31.69	0.2
91.72	31.95	0.2
91.70	31.89	0.2
91.71	31.84	0.2
91.75	31.81	0.2
91.78	31.75	0.2
91.81	31.72	0.2
91.84	31.68	0.2
91.79	31.66	0.2
91.75	31.64	0.2
91.74	31.61	0.2
91.79	31.59	0.2
91.91	31.57	0.2
91.98	31.55	0.2
92.05	31.53	0.2
91.97	31.41	0.2
91.85	31.30	0.2
91.80	31.26	0.2
91.76	31.17	0.2
91.73	31.13	0.2
91.69	31.09	0.2
91.68	31.03	0.2
91.90	31.37	0.2
92.02	31.46	0.2
91.73	31.78	0.2
91.85	31.81	0.2
91.73	31.74	0.2
91.72	31.69	0.2
91.91	31.61	0.2
100.52	38.09	0.2
100.22	38.07	0.2
100.25	38.53	0.2
100.92	37.95	0.2
100.73	38.00	0.2
100.19	38.23	0.2
97.80	34.98	0.2
98.17	34.87	0.2
98.44	34.65	0.2
91.10	32.35	0.2
91.10	30.48	0.2
98.22	34.92	0.2
92.07	31.48	0.2
95.78	34.13	0.2
97.02	33.02	0.2
95.30	32.90	0.2
94.74	29.77	0.2
79.62	33.45	0.2
79.62	33.45	0.2
102.13	33.88	0.2
101.97	33.90	0.2
101.72	33.77	0.2
101.88	33.67	0.2
102.13	33.88	0.2
102.13	33.88	0.2
102.13	33.77	0.2
102.05	33.62	0.2
102.05	33.63	0.2
102.27	34.00	0.2
102.35	33.98	0.2
102.60	33.97	0.2
102.55	33.90	0.2
102.47	33.68	0.2
101.93	34.02	0.2
102.12	33.92	0.2
80.07	32.48	0.2
80.02	32.50	0.2
79.97	32.50	0.2
79.95	32.50	0.2
79.92	32.50	0.2
79.87	32.50	0.2
79.83	32.52	0.2
80.05	32.45	0.2
80.00	32.42	0.2
79.97	32.45	0.2
79.93	32.45	0.2
99.07	38.79	0.2
79.37	35.86	0.2
79.23	35.91	0.2
79.16	35.90	0.2
79.03	35.80	0.2
79.03	35.80	0.2
84.07	32.91	0.2
84.16	33.00	0.2
84.18	33.00	0.2
84.26	33.32	0.2
84.20	33.03	0.2
84.03	33.03	0.2
85.29	33.16	0.2
85.77	33.45	0.2
88.87	37.54	0.2
88.72	37.71	0.2
88.72	37.75	0.2
97.43	34.80	0.2
97.33	34.72	0.2
97.32	34.69	0.2
97.83	35.11	0.2
97.58	35.02	0.2
